,Term,ID,Subject,Catalog,Session,Location,Final_Letter,Final_Numeric,SPE_Letter,SPE_Numeric,NBME_Letter,NBME_Numeric,OSCE_Letter,OSCE_Numeric,Final_Letter2,SPE_Letter2,NBME_Letter2,OSCE_Letter2
1,5300,1793,OB,300,S1C,Cape Cod Hospital,H,83,HONORS,37,Honors,11,Honors,20,Honors,Honors,Honors,Honors
2,5301,1793,PS,300,S3A,TaraVista Behavioral Health Center,HH,91,High Honors,96,Pass,78,High Honors,93,High Honors,High Honors,Pass,High Honors
3,5301,1793,FC,300,S3B,Worcester Area South,H,92.3,High Honors,43.75,Honors,18,Honors,16.45,Honors,High Honors,Honors,Honors
4,5301,1793,PE,300,S3C,UMMHC-University Campus,HH,3.7,High Honors,3.55,Honors,87,High Honors,93,High Honors,High Honors,Honors,High Honors
5,5300,1793,SU,300,1A5,Milford Regional Medical Center,H,3,High Honors,3.6,Pass,67,Pass,62,Honors,High Honors,Pass,Pass
6,5300,1793,ME,300B,2B5,UMMHC-Memorial Campus,H,3.3,High Honors,3.61,Pass,2.1,Honors,3,Honors,High Honors,Pass,Honors
7,5300,1793,NU,302,2C3,UMMHC-University Campus,HH,95.8,High Honors,3.88,Honors,75,High Honors,20,High Honors,High Honors,Honors,High Honors
8,5000,1379,OB,300,S2B,Cape Cod Hospital,H,NA,Honors,37,Honors,11,Honors,21,Honors,Honors,Honors,Honors
9,5001,1379,PS,300,S3A,Cape Cod Hospital,H,NA,NA,NA,Honors,82,Honors,88,Honors,NA,Honors,Honors
10,5001,1379,FC,300,S3B,Southeast Area,H,NA,High Honors,37.68,NA,12.1,High Honors,14.06,Honors,High Honors,NA,High Honors
11,5001,1379,PE,300,S3C,UMMHC-University Campus,S,NA,NA,NA,Satisfactory,NA,Satisfactory,94,Satisfactory,NA,Satisfactory,Satisfactory
12,5000,1379,NU,302,1A4,Cape Cod Hospital,H,NA,High Honors,3.5,Pass,73,High Honors,20,Honors,High Honors,Pass,High Honors
13,5000,1379,ME,300B,1C5,Berkshire Medical Center,H,NA,High Honors,3.67,High Honors,3.5,Honors,3,Honors,High Honors,High Honors,Honors
14,5000,1379,SU,300,2A5,Cape Cod Hospital,P,NA,Honors,3.41,Pass,74,Pass,74,Pass,Honors,Pass,Pass
15,5200,1691,PE,300,S1A,UMMHC-University Campus,H,NA,Honors,3.33,Pass,75,High Honors,90,Honors,Honors,Pass,High Honors
16,5200,1691,PS,300,S1B,UMMHC-C/L,H,NA,Honors,82,Pass,77,Pass,73,Honors,Honors,Pass,Pass
17,5300,1691,FC,300,S1B,Worcester Area South,H,92.14,High Honors,43.75,Pass,15.53,High Honors,18.06,Honors,High Honors,Pass,High Honors
18,5201,1691,OB,300,S3B,Saint Vincent Hospital Massachusetts,H,NA,High Honors,44,Pass,7,Honors,21,Honors,High Honors,Pass,Honors
19,5200,1691,NU,302,2B3,Milford Regional Medical Center,P,NA,Honors,3.08,Pass,70,Pass,13,Pass,Honors,Pass,Pass
20,5200,1691,ME,300B,2C5,Saint Vincent Hospital Massachusetts,H,NA,Honors,3.12,Pass,2,Honors,3,Honors,Honors,Pass,Honors
21,5201,1691,SU,300,3C5,Milford Regional Medical Center,HH,NA,High Honors,3.51,Honors,80,High Honors,75,High Honors,High Honors,Honors,High Honors
22,5400,1664,PE,300,S1A,UMMHC-University Campus,HH,3.65,Honors,3,High Honors,86,High Honors,91,High Honors,Honors,High Honors,High Honors
23,5300,1664,OB,300,S1B,UMMHC-Memorial Campus,H,82,Honors,39,Pass,7,HONORS,22,Honors,Honors,Pass,Honors
24,5301,1664,FC,300,S3A,Worcester Area South,H,89.64,High Honors,42.52,Honors,17.6,Pass,14.62,Honors,High Honors,Honors,Pass
25,5301,1664,PS,300,S3B,Hospital for Behavioral Medicine,HH,89,High Honors,92,Pass,77,High Honors,93,High Honors,High Honors,Pass,High Honors
26,5300,1664,SU,300,1A5,Cape Cod Hospital,H,3,High Honors,3.62,Pass,65,Pass,67,Honors,High Honors,Pass,Pass
27,5300,1664,ME,300B,2A5,UMMHC-Memorial Campus,H,3.36,HONORS,3.24,HIGH HONORS,3.7,HONORS,3,Honors,Honors,High Honors,Honors
28,5300,1664,NU,302,2B3,Saint Vincent Hospital Massachusetts,H,84.8,Honors,3.18,High Honors,90,Pass,14,Honors,Honors,High Honors,Pass
29,4900,1080,PS,300,S1A,UMMHC-8 East,H,NA,NA,NA,High Honors,91,Honors,83,Honors,NA,High Honors,Honors
30,5100,1486,ME,300B,S1B,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.21,Pass,2.1,Pass,2,Honors,Honors,Pass,Pass
31,5100,1486,NU,302,S1C,"Baystate Medical Center - Springfield, MA",P,NA,Honors,3.4,Honors,79,Pass,10,Pass,Honors,Honors,Pass
32,5100,1486,PS,300,S2A,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,99,Honors,83,Pass,79,Honors,High Honors,Honors,Pass
33,5100,1486,PE,300,S2B,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,3.85,NA,71,High Honors,90,High Honors,High Honors,NA,High Honors
34,5100,1486,FC,300,S2C,"Baystate Medical Center - Springfield, MA",H,NA,Honors,37.28,NA,12.9,Honors,17.84,Honors,Honors,NA,Honors
35,5101,1486,OB,300,S3A,"Baystate Medical Center - Springfield, MA",H,NA,Honors,38,Pass,7,Honors,22,Honors,Honors,Pass,Honors
36,5101,1486,SU,300,S3B,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,3.63,Pass,68,High Honors,80,Honors,High Honors,Pass,High Honors
37,5400,1860,SU,300,1B5,Berkshire Medical Center,P,2.4,Honors,3.42,Pass,62,Pass,65,Pass,Honors,Pass,Pass
38,5100,1099,PS,300,S1A,Berkshire Medical Center,H,NA,High Honors,92,Honors,83,Honors,85,Honors,High Honors,Honors,Honors
39,5000,1099,FC,300,S1B,Southeast Area,H,NA,Honors,36.88,NA,11.93,Honors,11.95,Honors,Honors,NA,Honors
40,5000,1099,PE,300,S1C,UMMHC-University Campus,P,NA,Honors,3.16,NA,70,Pass,84,Pass,Honors,NA,Pass
41,5000,1099,OB,300,S2B,UMMHC-Memorial Campus,H,NA,High Honors,40,Pass,7,Honors,21,Honors,High Honors,Pass,Honors
42,5000,1099,SU,300,2A5,Berkshire Medical Center,H,NA,High Honors,3.59,Pass,75,Pass,71,Honors,High Honors,Pass,Pass
43,5001,1099,NU,302,3A3,Lahey Hospital & Medical Center,P,NA,Honors,3.25,Honors,80,Pass,13,Pass,Honors,Honors,Pass
44,5001,1099,ME,300B,3C5,UMMHC-Memorial Campus,S,NA,High Honors,3.75,Pass,2,Honors,3,Satisfactory,High Honors,Pass,Honors
45,5100,1498,OB,300,S1A,UMMHC-Memorial Campus,H,NA,Honors,34,Honors,11,Honors,22,Honors,Honors,Honors,Honors
46,5100,1498,SU,300,S1B,Cape Cod Hospital,H,NA,High Honors,3.77,Pass,73,Honors,74,Honors,High Honors,Pass,Honors
47,5100,1498,FC,300,S2A,Worcester Area North,HH,NA,High Honors,39.68,NA,12.8,High Honors,19.38,High Honors,High Honors,NA,High Honors
48,5100,1498,PE,300,S2B,Baystate Medical Center,HH,NA,Honors,3.41,NA,91,High Honors,92,High Honors,Honors,NA,High Honors
49,5100,1498,PS,300,S2C,Berkshire Medical Center,HH,NA,High Honors,99,High Honors,91,Honors,86,High Honors,High Honors,High Honors,Honors
50,5101,1498,ME,300B,S3B,UMMHC-Memorial Campus,HH,NA,High Honors,3.9,High Honors,3.6,High Honors,4,High Honors,High Honors,High Honors,High Honors
51,5101,1498,NU,302,S3C,Saint Vincent Hospital Massachusetts,HH,NA,High Honors,3.92,High Honors,95,High Honors,20,High Honors,High Honors,High Honors,High Honors
52,5400,1898,OB,300,S1B,Baystate Medical Center,H,86,High Honors,45,Honors,11,Pass,19,Honors,High Honors,Honors,Pass
53,5400,1898,FC,300,S2A,Worcester Area South,H,93.16,Honors,41.7,High Honors,19.2,Honors,17.76,Honors,Honors,High Honors,Honors
54,5400,1898,PE,300,S2B,UMMHC-University Campus,HH,3.74,High Honors,3.48,High Honors,87,High Honors,92,High Honors,High Honors,High Honors,High Honors
55,5400,1898,PS,300,S2C,Hospital for Behavioral Medicine,H,88,Honors,86,Honors,88,Honors,87,Honors,Honors,Honors,Honors
56,5400,1898,SU,300,1C5,Milford Regional Medical Center,H,3,High Honors,3.51,Pass,74,Honors,74,Honors,High Honors,Pass,Honors
57,5401,1898,NU,302,3A4,Baystate Medical Center,H,86.6,Honors,3.36,High Honors,93,Honors,80,Honors,Honors,High Honors,Honors
