"","RecordNumber","DateReported","DateOccurred","TimeOccurred","GeographicAreaID","GeographicAreaName","GeographicSubAreaID","Part1_2","CrimeCode","CrimeCodeDesc","VictimAge","VictimSex","VictimEthnicity","CrimeSceneCode","CrimeSceneDesc","CaseStatus","CaseStatusDesc","CrimeCode1","CrimeCode2","AddressCrime","LatitudeCrime","LongitudeCrime","CriminalCharacteristicCodes","WeaponUsedCode","WeaponUsedDesc","CrossStreet","CrimeCode3"
"1","190326475",2020-03-01,2020-03-01,"2130","7","Wilshire","784","1","510","VEHICLE - STOLEN","0","M","O","101","STREET","AA","Adult Arrest","510","998","1900 S  LONGWOOD                     AV","34.0375","-118.3506",NA,NA,NA,NA,NA
"2","200106753",2020-02-09,2020-02-08,"1800","1","Central","182","1","330","BURGLARY FROM VEHICLE","47","M","O","128","BUS STOP/LAYOVER (ALSO QUERY 124)","IC","Invest Cont","330","998","1000 S  FLOWER                       ST","34.0444","-118.2628","1822 1402 0344",NA,NA,NA,NA
"3","200320258",2020-11-11,2020-11-04,"1700","3","Southwest","356","1","480","BIKE - STOLEN","19","X","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","480",NA,"1400 W  37TH                         ST","34.021","-118.3002","0344 1251",NA,NA,NA,NA
"4","200907217",2023-05-10,2020-03-10,"2037","9","Van Nuys","964","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","19","M","O","405","CLOTHING STORE","IC","Invest Cont","343",NA,"14000    RIVERSIDE                    DR","34.1576","-118.4387","0325 1501",NA,NA,NA,NA
"5","220614831",2022-08-18,2020-08-17,"1200","6","Hollywood","666","2","354","THEFT OF IDENTITY","28","M","H","102","SIDEWALK","IC","Invest Cont","354",NA,"1900    TRANSIENT","34.0944","-118.3277","1822 1501 0930 2004",NA,NA,NA,NA
"6","231808869",2023-04-04,2020-12-01,"2300","18","Southeast","1826","2","354","THEFT OF IDENTITY","41","M","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"9900    COMPTON                      AV","33.9467","-118.2463","1822 0100 0930 0929",NA,NA,NA,NA
"7","230110144",2023-04-04,2020-07-03,"900","1","Central","182","2","354","THEFT OF IDENTITY","25","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"1100 S  GRAND                        AV","34.0415","-118.262","0930 0929",NA,NA,NA,NA
"8","220314085",2022-07-22,2020-05-12,"1110","3","Southwest","303","2","354","THEFT OF IDENTITY","27","F","B","248","CELL PHONE STORE","IC","Invest Cont","354",NA,"2500 S  SYCAMORE                     AV","34.0335","-118.3537","0100",NA,NA,NA,NA
"9","231309864",2023-04-28,2020-12-09,"1400","13","Newton","1375","2","354","THEFT OF IDENTITY","24","F","B","750","CYBERSPACE","IC","Invest Cont","354",NA,"1300 E  57TH                         ST","33.9911","-118.2521","0100",NA,NA,NA,NA
"10","211904005",2020-12-31,2020-12-31,"1220","19","Mission","1974","2","624","BATTERY - SIMPLE ASSAULT","26","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","624",NA,"9000    CEDROS                       AV","34.2336","-118.4535","0416","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"11","221804943",2022-01-21,2020-07-01,"1335","18","Southeast","1822","2","354","THEFT OF IDENTITY","26","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"100 W  COLDEN                       AV","33.9492","-118.2739","1822 0930",NA,NA,NA,NA
"12","221908151",2022-04-12,2020-10-01,"1","19","Mission","1988","1","821","SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH","8","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","812","821","13400    RANGOON                      ST","34.2285","-118.4258","0913 2024 1817 0360 1258 0507","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
